Virtualization_Type Threads Total_Operations MiB/sec
baremetal 1 41125998 4015.58
baremetal 2 32956134 3217.92
baremetal 4 25836856 2522.78
baremetal 8 18974078 1852.59
baremetal 16 18398110 1796.26
baremetal 32 26200358 2558.17
baremetal 64 30293690 2957.60
VirtualMachine-VM1     1  38592462    3767.95
VirtualMachine-VM2     2  24598588    2401.75
VirtualMachine-VM4     4  16356732    1597.00
VirtualMachine-VM8     8  15457050    1509.09
VirtualMachine-VM16     16  17618631    1720.17
VirtualMachine-VM32     32  27864533    2720.40
VirtualMachine-VM48     64  29857677    2915.01
Container-CN1        1      41143428      4017.38
Container-CN2        2      31757070      3100.83
Container-CN4        4      17959018      1753.54
Container-CN8        8      17988706      1756.27
Container-CN16        16      20343189      1986.29
Container-CN32        32      24661137      2407.87
Container-CN48        64      30158737      2944.63
