Virtualization Type | Server | Client Threads | Latency (ms) | Measured Throughput (Gbits/s)
VM | 1 | 1 | 9.48 | Gbits/sec
VM | 1 | 2 | 3.120 | 12.6 Gbits/sec
VM | 1 | 4 | 10.564 | 15.3 Gbits/sec
VM | 1 | 8 | 20.470 | 17.0 Gbits/sec
VM | 1 | 16 | 47.326 | 18.1 Gbits/sec
VM | 1 | 32 | 92.623 | 18.4 Gbits/sec
VM | 1 | 64 | 161.862 | 18.2 Gbits/sec
VM | 2 | 1 | 15.9 | Gbits/sec
VM | 2 | 2 | 0.279 | 21.8 Gbits/sec
VM | 2 | 4 | 7.006 | 26.1 Gbits/sec
VM | 2 | 8 | 12.915 | 31.8 Gbits/sec
VM | 2 | 16 | 15.464 | 33.9 Gbits/sec
VM | 2 | 32 | 0.122 | 37.7 Gbits/sec
VM | 2 | 64 | 144.052 | 35.8 Gbits/sec
VM | 4 | 1 | 13.7 | Gbits/sec
VM | 4 | 2 | 0.118 | 33.3 Gbits/sec
VM | 4 | 4 | 0.255 | 43.8 Gbits/sec
VM | 4 | 8 | 0.137 | 57.8 Gbits/sec
VM | 4 | 16 | 0.211 | 65.7 Gbits/sec
VM | 4 | 32 | 0.152 | 68.9 Gbits/sec
VM | 4 | 64 | 0.207 | 72.4 Gbits/sec
VM | 8 | 1 | 16.4 | Gbits/sec
VM | 8 | 2 | 0.134 | 31.0 Gbits/sec
VM | 8 | 4 | 0.110 | 52.4 Gbits/sec
VM | 8 | 8 | 0.279 | 14.5 Gbits/sec
VM | 8 | 16 | 0.187 | 8.56 Gbits/sec
VM | 8 | 32 | 8.275 | 4.33 Gbits/sec
VM | 8 | 64 | 0.153 | 2.20 Gbits/sec
VM | 16 | 1 | 18.4 | Gbits/sec
VM | 16 | 2 | 0.117 | 34.1 Gbits/sec
VM | 16 | 4 | 0.113 | 62.3 Gbits/sec
VM | 16 | 8 | 0.117 | 82.2 Gbits/sec
VM | 16 | 16 | 0.117 | 16.4 Gbits/sec
VM | 16 | 32 | 0.876 | 7.61 Gbits/sec
VM | 16 | 64 | 16.646 | 3.52 Gbits/sec
VM | 32 | 1 | 18.8 | Gbits/sec
VM | 32 | 2 | 0.136 | 33.5 Gbits/sec
VM | 32 | 4 | 0.152 | 69.7 Gbits/sec
VM | 32 | 8 | 0.151 | 15.6 Gbits/sec
VM | 32 | 16 | 0.132 | 6.85 Gbits/sec
VM | 32 | 32 | 0.343 | 12.2 Gbits/sec
VM | 32 | 64 | 0.115 | 4.66 Gbits/sec
VM | 48 | 1 | 16.9 | Gbits/sec
VM | 48 | 2 | 0.164 | 38.4 Gbits/sec
VM | 48 | 4 | 0.151 | 79.3 Gbits/sec
VM | 48 | 8 | 0.166 | 18.5 Gbits/sec
VM | 48 | 16 | 0.156 | 9.97 Gbits/sec
VM | 48 | 32 | 0.266 | 3.48 Gbits/sec
VM | 48 | 64 | 0.365 | 7.96 Gbits/sec
